relative_path,group,type,size,width,height,sha256,path
fishing\fish2k\som_obyknovennyy.png,fishing,png,51372,415,250,db1d8f57107c4da643b64d45d96bcaa0f8eaf8d37213c5ca5c70d9cb82990eb4,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\som_obyknovennyy.png
fishing\fish2k\steelhead_salmon.png,fishing,png,52455,415,250,69ec2982e76444dfdb271b98dff19648f401ec437e3761de9422bf25162bb43c,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\steelhead_salmon.png
fishing\fish2k\sterlet.png,fishing,png,36637,415,250,ffc2cb6e7da3f3dee592407d8f9476d08bd3ca3e41b9340b1867c58ddc32ed9d,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\sterlet.png
fishing\fish2k\sudak_obyknovennyy.png,fishing,png,61357,415,250,a108e2e54e54096f2ca4d136fbd979c5db7683601ec29af616c810e1602eac79,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\sudak_obyknovennyy.png
fishing\fish2k\tarpon.png,fishing,png,54787,415,250,8d5ce9a2266be20e266cf99f5c047da43cbbf4287efcc7118165fa9f79801493,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\tarpon.png
fishing\fish2k\temny_gorbyl.png,fishing,png,66368,415,250,0fb370fe1fdfe0584651f0954a930f4e6733719b989d21e964d38294b360c6fd,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\temny_gorbyl.png
fishing\fish2k\toksichny_okun.png,fishing,png,81760,415,250,5afcf7936e633a04c520f1eb3f436765f6688524635dfb70c162cadbb4b38372,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\toksichny_okun.png
fishing\fish2k\zerkalny_karp.png,fishing,png,69526,415,250,b41bd4f4aa50e9e22fe4a7620ff9d79236b1febafc1b88adb11755cbfd6d00ec,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\zerkalny_karp.png
fishing\fish2k\zhereh.png,fishing,png,49215,415,250,d03c10bd09833c65a2c98b51814eb9f6b5bf38f3897b92b8b05169eb4c44025d,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\zhereh.png
fishing\fish_inv_2k\albula.png,fishing,png,7338,116,25,c53dbe2866bdfd98f2f211f8f91a4593197ecb63cd8e49acb18d8883673959d1,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\albula.png
fishing\fish_inv_2k\ancient_gyneria.png,fishing,png,6134,89,27,7e5440cfdc7b33e90e54231b1cbf8ba28c9946e6cb596bbc7470744fa5e0d276,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\ancient_gyneria.png
fishing\fish_inv_2k\barracuda.png,fishing,png,6208,125,27,0890a5d3751d8cb726ce432af2fc1b56192517ed2fcb752da3590ac83fad21e2,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\barracuda.png
fishing\fish_inv_2k\bream_leshch.png,fishing,png,7623,103,39,f8047f5868f87aef687c2e61873e54a3f0b489da04f9fb6d392c27935c3e8f10,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\bream_leshch.png
fishing\fish_inv_2k\common_snook.png,fishing,png,7363,114,35,a54058904f3e28a379ce168ad5cfc5a2187f8e3b7010947798463b81dc8236a3,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\common_snook.png
fishing\fish_inv_2k\golavl.png,fishing,png,9192,126,33,0af2a95d21df4855228fdb11ba50294e1ba29de101a5b196124375c8cf766d72,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\golavl.png
fishing\fish_inv_2k\korichnevy_som.png,fishing,png,8297,111,38,896488c12ecb5e7648f58842fa0cc948bc111690ea55aea325fb974446c79482,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\korichnevy_som.png
fishing\fish_inv_2k\krasny_gorbyl.png,fishing,png,9209,118,35,d417ab550d593aa90a1dc1b73a0ef7c95736e0f8d0c3969b1123a4dca039774c,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\krasny_gorbyl.png
fishing\fish_inv_2k\krugly_trahinot.png,fishing,png,5849,89,41,dca71bda51f9f8df623a2067e16e58ca3bcfcb5c2e846ccf9f8940ffc39588b2,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\krugly_trahinot.png
fishing\fish_inv_2k\marlin.png,fishing,png,4798,88,21,dfbca68cdcf6ebc4921cfa236bf3d5a16b4c522dc6312d43946881f6994849a1,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\marlin.png
fishing\fish_inv_2k\obyknovennaya_shchuka.png,fishing,png,7384,116,31,890ddc2dd24cb796b45159089ba730249a509f83ada769277db0bf6305bb948c,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\obyknovennaya_shchuka.png
fishing\fish_inv_2k\polosaty_lavrak.png,fishing,png,9054,115,36,b7363e09a52e953b6e312008608039d4aa15da1b0c8a6e6837b6a41c8e27b30c,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\polosaty_lavrak.png
fishing\fish_inv_2k\pribrezhny_bass.png,fishing,png,10126,120,34,211d41ea3bb38ad70fc291fa98fb7f9aaa1a61cdd1eb46f8913ccbbb649d2d0b,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\pribrezhny_bass.png
fishing\fish_inv_2k\raduzhnaya_forel.png,fishing,png,8570,106,36,4fa72bc1e47ffc6b4fa22863c4ef6fd418a8af49d1255eecfdf4fdea262bff51,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\raduzhnaya_forel.png
fishing\fish_inv_2k\rechnoy_okun.png,fishing,png,9195,107,34,15f8f1c9062115d9a52c60988cc75717b9d8909c0506c2a4a8e6e069b3e962f3,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\rechnoy_okun.png
fishing\fish_inv_2k\remove.png,fishing,png,1954,186,19,5ad9c315a903330e9bee9d57b18a46887255780dad9a5c548fc45f99469230d1,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\remove.png
fishing\fish_inv_2k\roach_plotva.png,fishing,png,2218,54,21,d68982f317305b07fc261c8965e15dd8f272b71b60e3932f8c1a9fef507d9d50,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\roach_plotva.png
fishing\fish_inv_2k\roach_vobla.png,fishing,png,7666,98,43,090d7167ad176cc5454feb15b6f2266c916199b8be65ceff1280cf7a1b082f9e,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\roach_vobla.png
fishing\fish_inv_2k\rudd_krasnoperka.png,fishing,png,2383,51,22,887dbbf72a570772c0068ad91475cfae650ae4ff8d50c75f83f589780bda0146,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\rudd_krasnoperka.png
fishing\fish_inv_2k\ruster.png,fishing,png,3756,79,17,4528daffcf629188a4578e0465d9e4ddd3630f6088a40477d95e0aafb97e6d4f,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\ruster.png
fishing\fish_inv_2k\sazan.png,fishing,png,8767,107,36,d2ca1f25923c9d251ac86aa69d86022210092e09572e4af9e2eed1797a6ef5ea,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\sazan.png
fishing\fish_inv_2k\serebryany_karas.png,fishing,png,8613,106,36,5c117295cfb87e7c5c5b5043c402cacd1eaeff3553bf83efcaee2091f4d0bb3a,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\serebryany_karas.png
fishing\fish_inv_2k\seriola.png,fishing,png,5940,95,22,c20cb69180b2145939b3ee4207da25ab4d1f4016aa365f57fc381bc5ac45dfa3,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\seriola.png
fishing\fish_inv_2k\som_obyknovennyy.png,fishing,png,7388,117,32,945dee3a9955078fc91baa157fa744313da6f72a646d01d0cb6577361ca43ea3,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\som_obyknovennyy.png
fishing\fish_inv_2k\steelhead_salmon.png,fishing,png,7981,117,28,b17074e5eeed0ccd198c8fae0262de9e051902f8b3e6325af9cdfb095230c2df,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\steelhead_salmon.png
fishing\fish_inv_2k\sterlet.png,fishing,png,10484,170,36,a5fc1217ed40e0746c18fcb8a0eb00f079953e307175d581a2bf24de93b7e4bc,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\sterlet.png
fishing\fish_inv_2k\sudak_obyknovennyy.png,fishing,png,9739,117,37,5bea57135a8a14bd1d1fbc1375f282bdf90ad20729c4d6eadf8520cd4540c5fe,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\sudak_obyknovennyy.png
fishing\fish_inv_2k\tarpon.png,fishing,png,5946,121,17,ba1496a776a735a1ca24d3cbb066573fb910a027156e89f5954dcc5942f7c418,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\tarpon.png
fishing\fish_inv_2k\temny_gorbyl.png,fishing,png,7085,99,37,fbf3f99e5b00f9eda8555fbfc46792889d347b29f5116900684c462fa2e15c35,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\temny_gorbyl.png
fishing\fish_inv_2k\toksichny_okun.png,fishing,png,6379,71,41,8ea5b0ecfb9225f18d2547875c0561097c74fc3f6cd94bf7a545e20ec0abdd83,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\toksichny_okun.png
fishing\fish_inv_2k\zerkalny_karp.png,fishing,png,6338,101,35,b127868f6c2d7aa4425e876eeb93c64fbcf564a549e525bddbcff810717b0681,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\zerkalny_karp.png
